Drug1,Drug2,Interaction_Type,Patient_Count,Polypharmacy_Count,Avg_Risk_Score
WARFARIN,ATORVASTATIN,Bleeding Risk,2,2,21.0
METFORMIN,GLIPIZIDE,Other,2,1,6.0
AMIODARONE,WARFARIN,Bleeding Risk,1,1,29.0
METOPROLOL,IBUPROFEN,Other,1,1,9.0
WARFARIN,SIMVASTATIN,Bleeding Risk,1,1,21.0
WARFARIN,LEVOTHYROXINE,Bleeding Risk,1,1,13.0
WARFARIN,AMIODARONE,Bleeding Risk,1,1,13.0
WARFARIN,ALLOPURINOL,Bleeding Risk,1,1,29.0
WARFARIN,ACETYLSALICYLIC ACID,Bleeding Risk,1,0,4.0
TRAMADOL,SERTRALINE,Other,1,1,21.0
SPIRONOLACTONE,NAPROXEN,Other,1,1,8.0
METOPROLOL,DIGOXIN,Other,1,1,17.0
CARVEDILOL,NAPROXEN,Other,1,1,8.0
METOPROLOL,ACETYLSALICYLIC ACID,Other,1,0,4.0
METFORMIN,SERTRALINE,Other,1,1,10.0
IBUPROFEN,FUROSEMIDE,Other,1,1,7.0
GLIPIZIDE,SERTRALINE,Other,1,1,10.0
FLUOXETINE,HYDROCHLOROTHIAZIDE,Other,1,1,6.0
DIGOXIN,METOPROLOL,Other,1,1,29.0
CYCLOBENZAPRINE,TRAMADOL,Other,1,0,2.0
WARFARIN,TRAMADOL,Bleeding Risk,1,1,21.0
